,Order ID,Order Date,Ship Date,Customer Name,Country,City,State,Category,Product Name,Sales,Quantity,Profit
0,CA-2013-138688,13-06-2013,17-06-2013,Darrin Van Huff,USA,Los Angeles,California,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2.0,6.87
1,CA-2011-115812,09-06-2011,14-06-2011,Brosina Hoffman,USA,Los Angeles,California,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7.0,14.17
2,CA-2011-115812,09-06-2011,14-06-2011,Brosina Hoffman,USA,Los Angeles,California,Art,Newell 322,7.28,4.0,1.97
3,CA-2011-115812,09-06-2011,14-06-2011,Brosina Hoffman,USA,Los Angeles,California,Phones,Mitel 5320 IP Phone VoIP phone,907.15,4.0,90.72
4,CA-2011-115812,09-06-2011,14-06-2011,Brosina Hoffman,USA,Los Angeles,California,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.5,3.0,5.78
5,CA-2011-115812,09-06-2011,14-06-2011,Brosina Hoffman,USA,Los Angeles,California,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5.0,34.47
6,CA-2011-115812,09-06-2011,14-06-2011,Brosina Hoffman,USA,Los Angeles,California,Tables,Chromcraft Rectangular Conference Tables,1706.18,9.0,85.31
7,CA-2011-115812,09-06-2011,14-06-2011,Brosina Hoffman,USA,Los Angeles,California,Phones,Konftel 250 Conference phone - Charcoal black,911.42,4.0,68.36
8,CA-2013-161389,06-12-2013,11-12-2013,Irene Maddox,USA,Seattle,Washington,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.98,3.0,132.59
9,CA-2011-167164,13-05-2011,15-05-2011,Alejandro Grove,USA,West Jordan,Utah,Storage,Fellowes Super Stor/Drawer,55.5,2.0,9.99
10,CA-2011-143336,27-08-2011,01-09-2011,Zuschuss Donatelli,USA,San Francisco,California,Art,Newell 341,8.56,2.0,2.48
11,CA-2011-143336,27-08-2011,01-09-2011,Zuschuss Donatelli,USA,San Francisco,California,Phones,Cisco SPA 501G IP Phone,213.48,3.0,16.01
12,CA-2011-143336,27-08-2011,01-09-2011,Zuschuss Donatelli,USA,San Francisco,California,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4.0,7.38
13,CA-2012-106320,25-09-2012,30-09-2012,Emily Burns,USA,Orem,Utah,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3.0,240.26
14,CA-2013-121755,16-01-2013,20-01-2013,Eric Hoffmann,USA,Los Angeles,California,Binders,Wilson Jones Active Use Binders,11.65,2.0,4.22
15,CA-2013-121755,16-01-2013,20-01-2013,Eric Hoffmann,USA,Los Angeles,California,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3.0,11.77
16,CA-2013-101343,18-07-2013,23-07-2013,Ruben Ausman,USA,Los Angeles,California,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2.0,3.89
17,CA-2012-135545,24-11-2012,30-11-2012,Kunst Miller,USA,Los Angeles,California,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2.0,6.15
18,CA-2012-135545,24-11-2012,30-11-2012,Kunst Miller,USA,Los Angeles,California,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.82,6.0,9.36
19,CA-2012-135545,24-11-2012,30-11-2012,Kunst Miller,USA,Los Angeles,California,Paper,Xerox 1943,146.73,3.0,68.96
20,CA-2012-135545,24-11-2012,30-11-2012,Kunst Miller,USA,Los Angeles,California,Furnishings,Luxo Economy Swing Arm Lamp,79.76,4.0,22.33
21,CA-2011-106376,05-12-2011,10-12-2011,Brendan Sweed,USA,Gilbert,Arizona,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.02,8.0,111.3
